flight_number,airline_code,origin_airport,destination_airport,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,delay_minutes,delay_reason,distance,weather_condition,day_of_week,month,is_delayed
VJ4599,VJ,MIA,ATL,2025-05-07 20:26:00,2025-05-07 20:31:00,2025-05-07 21:32:00,2025-05-07 21:32:00,5,,612.1,Rain,2,5,0
B66541,B6,DAD,HAN,2025-05-22 21:14:00,2025-05-22 21:19:00,2025-05-22 22:14:00,2025-05-22 22:18:00,5,,393.5,Clear,3,5,0
VN2395,VN,SFO,DAD,2025-09-13 08:04:00,2025-09-13 08:04:00,2025-09-14 17:29:00,2025-09-14 17:27:00,0,,15979.4,Rain,5,9,0
F96929,F9,BOS,SFO,2025-06-25 16:18:00,2025-06-25 17:10:00,2025-06-25 23:47:00,2025-06-26 00:34:00,52,Security,3559.6,Cloudy,2,6,1
WN4070,WN,MIA,DFW,2025-06-02 21:54:00,2025-06-02 21:54:00,2025-06-03 00:33:00,2025-06-03 00:33:00,0,,1255.6,Clear,0,6,0
VJ2232,VJ,SEA,DEN,2025-04-29 12:46:00,2025-04-29 13:07:00,2025-04-29 15:26:00,2025-04-29 15:47:00,21,Security,1324.8,Snow,1,4,1
NK1973,NK,DEN,HAN,2025-04-08 18:43:00,2025-04-08 19:14:00,2025-04-10 01:04:00,2025-04-10 01:32:00,31,Security,14580.0,Rain,1,4,1
AA156,AA,HAN,SEA,2025-11-23 17:55:00,2025-11-23 18:41:00,2025-11-25 02:56:00,2025-11-25 03:43:00,46,Weather,15843.7,Rain,6,11,1
VJ1705,VJ,MIA,SFO,2025-09-12 18:32:00,2025-09-12 18:34:00,2025-09-13 00:43:00,2025-09-13 00:50:00,2,,3016.8,Clear,4,9,0
B63261,B6,DFW,DEN,2025-07-15 15:03:00,2025-07-15 15:04:00,2025-07-15 16:36:00,2025-07-15 16:34:00,1,,712.6,Clear,1,7,0
VN1410,VN,LAX,SEA,2025-01-29 11:38:00,2025-01-29 11:42:00,2025-01-29 13:46:00,2025-01-29 13:46:00,4,,970.1,Clear,2,1,0
VN8718,VN,ORD,SEA,2025-01-19 16:09:00,2025-01-19 16:12:00,2025-01-19 21:08:00,2025-01-19 21:11:00,3,,2403.6,Fog,6,1,0
NK3973,NK,ORD,DFW,2025-05-04 12:32:00,2025-05-04 12:32:00,2025-05-04 14:24:00,2025-05-04 14:23:00,0,,888.4,Clear,6,5,0
B64229,B6,SEA,DAD,2025-08-08 06:13:00,2025-08-08 06:13:00,2025-08-09 15:41:00,2025-08-09 15:42:00,0,,16052.0,Clear,4,8,0
B62162,B6,DEN,JFK,2025-03-02 19:32:00,2025-03-02 21:02:00,2025-03-02 23:57:00,2025-03-03 01:31:00,90,Carrier Delay,2132.5,Snow,6,3,1
VN6071,VN,HAN,SFO,2025-07-15 17:41:00,2025-07-15 17:41:00,2025-07-17 02:28:00,2025-07-17 02:25:00,0,,15785.4,Clear,1,7,0
NK3512,NK,HAN,ATL,2025-09-28 17:19:00,2025-09-28 17:19:00,2025-09-29 20:42:00,2025-09-29 20:38:00,0,,13154.1,Rain,6,9,0
NK4045,NK,BOS,SEA,2025-01-08 09:06:00,2025-01-08 09:09:00,2025-01-08 16:21:00,2025-01-08 16:28:00,3,,3557.0,Clear,2,1,0
VJ1033,VJ,ATL,MIA,2025-03-17 08:18:00,2025-03-17 08:35:00,2025-03-17 09:31:00,2025-03-17 09:53:00,17,Air Traffic Control,612.1,Cloudy,0,3,1
DL9825,DL,DFW,LAX,2025-01-31 07:19:00,2025-01-31 07:43:00,2025-01-31 10:17:00,2025-01-31 10:44:00,24,Weather,1476.1,Rain,4,1,1
VN3156,VN,SFO,BOS,2025-12-20 19:13:00,2025-12-20 20:21:00,2025-12-21 02:31:00,2025-12-21 03:38:00,68,National Aviation System,3559.6,Snow,5,12,1
F98976,F9,SGN,BOS,2025-07-19 19:45:00,2025-07-19 19:45:00,2025-07-20 21:37:00,2025-07-20 21:32:00,0,,12450.4,Cloudy,5,7,0
WN6621,WN,HAN,DEN,2025-01-07 18:50:00,2025-01-07 18:57:00,2025-01-09 01:12:00,2025-01-09 01:22:00,7,,14580.0,Rain,1,1,0
F94410,F9,HAN,ORD,2025-11-23 07:09:00,2025-11-23 07:09:00,2025-11-24 11:19:00,2025-11-24 11:23:00,0,,13442.8,Fog,6,11,0
DL527,DL,ATL,BOS,2025-12-22 08:36:00,2025-12-22 08:36:00,2025-12-22 10:54:00,2025-12-22 10:57:00,0,,1104.4,Clear,0,12,0
F91553,F9,SFO,ORD,2025-07-17 13:05:00,2025-07-17 13:31:00,2025-07-17 18:08:00,2025-07-17 18:34:00,26,Late Aircraft,2397.4,Rain,3,7,1
AA8918,AA,SEA,SGN,2025-09-01 12:38:00,2025-09-01 12:38:00,2025-09-02 22:02:00,2025-09-02 22:03:00,0,,15999.2,Clear,0,9,0
AS1652,AS,SEA,MIA,2025-02-05 11:46:00,2025-02-05 11:46:00,2025-02-05 18:23:00,2025-02-05 18:24:00,0,,3261.8,Clear,2,2,0
AS8675,AS,ORD,SFO,2025-03-29 18:31:00,2025-03-29 18:34:00,2025-03-29 23:33:00,2025-03-29 23:35:00,3,,2397.4,Clear,5,3,0
DL5265,DL,DAD,LAX,2025-11-03 17:41:00,2025-11-03 18:27:00,2025-11-05 02:27:00,2025-11-05 03:11:00,46,National Aviation System,15684.6,Clear,0,11,1
F95344,F9,HAN,SGN,2025-04-18 12:09:00,2025-04-18 12:09:00,2025-04-18 13:42:00,2025-04-18 13:40:00,0,,720.1,Clear,4,4,0
DL6306,DL,ATL,JFK,2025-11-06 18:34:00,2025-11-06 21:03:00,2025-11-06 20:23:00,2025-11-06 22:53:00,149,Late Aircraft,879.4,Snow,3,11,1
NK5561,NK,BOS,DAD,2025-05-12 11:43:00,2025-05-12 11:47:00,2025-05-13 13:37:00,2025-05-13 13:36:00,4,,12498.1,Cloudy,0,5,0
UA8520,UA,DEN,HAN,2025-02-21 11:37:00,2025-02-21 11:37:00,2025-02-22 17:57:00,2025-02-22 17:53:00,0,,14580.0,Fog,4,2,0
DL6514,DL,LAX,DAD,2025-01-29 05:17:00,2025-01-29 05:19:00,2025-01-30 13:57:00,2025-01-30 13:55:00,2,,15684.6,Clear,2,1,0
B6637,B6,HAN,DEN,2025-12-27 08:44:00,2025-12-27 08:44:00,2025-12-28 15:07:00,2025-12-28 15:07:00,0,,14580.0,Clear,5,12,0
F95978,F9,DFW,MIA,2025-10-04 16:33:00,2025-10-04 16:34:00,2025-10-04 19:01:00,2025-10-04 19:04:00,1,,1255.6,Cloudy,5,10,0
WN3531,WN,LAX,HAN,2025-07-25 15:22:00,2025-07-25 15:37:00,2025-07-26 23:46:00,2025-07-26 23:56:00,15,Late Aircraft,15495.7,Fog,4,7,1
B64285,B6,ATL,ORD,2025-05-05 13:41:00,2025-05-05 13:42:00,2025-05-05 14:54:00,2025-05-05 14:55:00,1,,623.1,Clear,0,5,0
AA308,AA,SFO,DAD,2025-12-25 16:33:00,2025-12-25 17:41:00,2025-12-27 01:52:00,2025-12-27 03:05:00,68,Security,15979.4,Snow,3,12,1
UA1904,UA,DAD,ORD,2025-11-23 08:26:00,2025-11-23 08:26:00,2025-11-24 13:01:00,2025-11-24 12:56:00,0,,13649.1,Clear,6,11,0
B65041,B6,LAX,ATL,2025-04-16 10:52:00,2025-04-16 11:02:00,2025-04-16 15:54:00,2025-04-16 16:04:00,10,,2344.7,Fog,2,4,0
DL7284,DL,BOS,LAX,2025-09-23 14:01:00,2025-09-23 14:04:00,2025-09-23 20:54:00,2025-09-23 20:52:00,3,,3321.7,Clear,1,9,0
VJ2298,VJ,SEA,SGN,2025-08-24 19:50:00,2025-08-24 19:50:00,2025-08-26 05:12:00,2025-08-26 05:13:00,0,,15999.2,Clear,6,8,0
UA1007,UA,HAN,SEA,2025-09-14 12:41:00,2025-09-14 12:41:00,2025-09-15 21:34:00,2025-09-15 21:30:00,0,,15843.7,Clear,6,9,0
UA4072,UA,DAD,SGN,2025-08-26 12:32:00,2025-08-26 12:32:00,2025-08-26 13:32:00,2025-08-26 13:30:00,0,,376.0,Fog,1,8,0
VJ8971,VJ,DEN,MIA,2025-05-22 14:52:00,2025-05-22 14:52:00,2025-05-22 18:45:00,2025-05-22 18:42:00,0,,1942.3,Cloudy,3,5,0
VJ5651,VJ,SGN,DAD,2025-02-06 20:15:00,2025-02-06 20:16:00,2025-02-06 21:15:00,2025-02-06 21:16:00,1,,376.0,Cloudy,3,2,0
UA8120,UA,SGN,MIA,2025-08-25 06:29:00,2025-08-25 06:29:00,2025-08-26 09:23:00,2025-08-26 09:24:00,0,,12940.1,Clear,0,8,0
AS1549,AS,ORD,SFO,2025-09-22 21:35:00,2025-09-22 21:38:00,2025-09-23 02:33:00,2025-09-23 02:36:00,3,,2397.4,Cloudy,0,9,0
AA366,AA,HAN,DEN,2025-12-23 07:06:00,2025-12-23 07:06:00,2025-12-24 13:31:00,2025-12-24 13:28:00,0,,14580.0,Clear,1,12,0
B67004,B6,HAN,BOS,2025-08-29 19:36:00,2025-08-29 19:36:00,2025-08-30 21:03:00,2025-08-30 21:05:00,0,,12287.3,Fog,4,8,0
F9813,F9,MIA,DAD,2025-11-27 22:23:00,2025-11-27 22:23:00,2025-11-29 01:30:00,2025-11-29 01:31:00,0,,13023.0,Clear,3,11,0
B69140,B6,ORD,BOS,2025-09-09 22:08:00,2025-09-09 22:29:00,2025-09-10 00:42:00,2025-09-10 01:05:00,21,Air Traffic Control,1166.3,Fog,1,9,1
B67075,B6,DFW,SEA,2025-12-13 20:16:00,2025-12-13 21:14:00,2025-12-14 00:29:00,2025-12-14 01:25:00,58,Late Aircraft,2011.9,Clear,5,12,1
VJ4775,VJ,LAX,SEA,2025-05-08 11:29:00,2025-05-08 11:45:00,2025-05-08 13:20:00,2025-05-08 13:37:00,16,Security,970.1,Rain,3,5,1
VJ2973,VJ,DAD,DEN,2025-07-17 15:26:00,2025-07-17 16:59:00,2025-07-18 22:06:00,2025-07-18 23:42:00,93,Air Traffic Control,14779.9,Snow,3,7,1
UA1659,UA,SFO,SGN,2025-03-18 19:32:00,2025-03-18 19:32:00,2025-03-20 04:36:00,2025-03-20 04:33:00,0,,15911.0,Clear,1,3,0
VJ2609,VJ,BOS,SFO,2025-05-09 12:37:00,2025-05-09 13:04:00,2025-05-09 20:00:00,2025-05-09 20:23:00,27,Air Traffic Control,3559.6,Cloudy,4,5,1
DL4438,DL,DFW,SEA,2025-05-09 16:35:00,2025-05-09 17:18:00,2025-05-09 20:50:00,2025-05-09 21:31:00,43,Late Aircraft,2011.9,Cloudy,4,5,1
B67887,B6,LAX,DAD,2025-04-14 09:02:00,2025-04-14 09:02:00,2025-04-15 17:34:00,2025-04-15 17:29:00,0,,15684.6,Fog,0,4,0
AA3044,AA,BOS,SGN,2025-08-25 15:24:00,2025-08-25 15:24:00,2025-08-26 17:29:00,2025-08-26 17:32:00,0,,12450.4,Clear,0,8,0
AA8377,AA,MIA,DAD,2025-06-24 15:19:00,2025-06-24 15:19:00,2025-06-25 18:35:00,2025-06-25 18:32:00,0,,13023.0,Fog,1,6,0
F93309,F9,BOS,SEA,2025-05-27 16:29:00,2025-05-27 16:29:00,2025-05-27 23:46:00,2025-05-27 23:50:00,0,,3557.0,Cloudy,1,5,0
AS9803,AS,HAN,LAX,2025-10-17 07:50:00,2025-10-17 07:50:00,2025-10-18 16:03:00,2025-10-18 16:00:00,0,,15495.7,Rain,4,10,0
VJ1494,VJ,SGN,SFO,2025-05-21 23:54:00,2025-05-21 23:55:00,2025-05-23 08:56:00,2025-05-23 08:59:00,1,,15911.0,Clear,2,5,0
AA4458,AA,HAN,SFO,2025-04-03 06:58:00,2025-04-03 07:03:00,2025-04-04 15:53:00,2025-04-04 15:59:00,5,,15785.4,Clear,3,4,0
WN1246,WN,DEN,SGN,2025-03-01 09:51:00,2025-03-01 09:52:00,2025-03-02 16:34:00,2025-03-02 16:40:00,1,,14718.5,Clear,5,3,0
B64790,B6,ORD,JFK,2025-03-08 09:49:00,2025-03-08 12:08:00,2025-03-08 11:49:00,2025-03-08 14:07:00,139,Carrier Delay,979.2,Rain,5,3,1
VJ1039,VJ,LAX,ORD,2025-05-26 10:38:00,2025-05-26 10:38:00,2025-05-26 15:00:00,2025-05-26 14:55:00,0,,2176.3,Rain,0,5,0
WN8893,WN,ATL,SFO,2025-08-16 11:28:00,2025-08-16 11:38:00,2025-08-16 17:06:00,2025-08-16 17:14:00,10,,2633.0,Snow,5,8,0
AA9007,AA,JFK,DFW,2025-07-10 22:12:00,2025-07-10 22:12:00,2025-07-11 01:36:00,2025-07-11 01:38:00,0,,1691.6,Cloudy,3,7,0
F97875,F9,DEN,BOS,2025-05-15 15:09:00,2025-05-15 15:09:00,2025-05-15 20:02:00,2025-05-15 19:58:00,0,,2329.3,Snow,3,5,0
AS7255,AS,MIA,LAX,2025-04-09 22:35:00,2025-04-09 22:35:00,2025-04-10 04:13:00,2025-04-10 04:11:00,0,,2689.7,Fog,2,4,0
NK334,NK,BOS,ATL,2025-02-19 14:16:00,2025-02-19 14:16:00,2025-02-19 16:24:00,2025-02-19 16:28:00,0,,1104.4,Clear,2,2,0
VJ340,VJ,DFW,MIA,2025-12-15 08:44:00,2025-12-15 09:06:00,2025-12-15 11:27:00,2025-12-15 11:45:00,22,Security,1255.6,Clear,0,12,1
AS1073,AS,DFW,SEA,2025-08-11 18:37:00,2025-08-11 18:37:00,2025-08-11 22:56:00,2025-08-11 22:55:00,0,,2011.9,Clear,0,8,0
UA4620,UA,DEN,JFK,2025-05-24 16:34:00,2025-05-24 16:34:00,2025-05-24 21:03:00,2025-05-24 21:03:00,0,,2132.5,Clear,5,5,0
AA6837,AA,DFW,MIA,2025-12-05 16:08:00,2025-12-05 16:29:00,2025-12-05 18:52:00,2025-12-05 19:09:00,21,Weather,1255.6,Snow,4,12,1
B62175,B6,SEA,SFO,2025-12-26 12:55:00,2025-12-26 12:57:00,2025-12-26 14:14:00,2025-12-26 14:14:00,2,,678.2,Cloudy,4,12,0
AS5794,AS,SFO,SGN,2025-10-02 18:16:00,2025-10-02 18:16:00,2025-10-04 03:22:00,2025-10-04 03:23:00,0,,15911.0,Cloudy,3,10,0
WN2575,WN,ORD,SFO,2025-04-07 15:14:00,2025-04-07 15:21:00,2025-04-07 20:14:00,2025-04-07 20:16:00,7,,2397.4,Fog,0,4,0
AA5233,AA,DFW,SEA,2025-01-27 22:15:00,2025-01-27 22:30:00,2025-01-28 02:23:00,2025-01-28 02:34:00,15,Late Aircraft,2011.9,Clear,0,1,1
F93237,F9,BOS,SGN,2025-04-17 07:19:00,2025-04-17 07:51:00,2025-04-18 09:10:00,2025-04-18 09:45:00,32,Air Traffic Control,12450.4,Clear,3,4,1
AA7770,AA,DFW,MIA,2025-08-28 15:18:00,2025-08-28 16:00:00,2025-08-28 17:55:00,2025-08-28 18:41:00,42,Weather,1255.6,Fog,3,8,1
F94798,F9,SGN,DAD,2025-03-30 17:17:00,2025-03-30 17:29:00,2025-03-30 18:17:00,2025-03-30 18:25:00,12,,376.0,Clear,6,3,0
AS1763,AS,DFW,SFO,2025-02-14 23:54:00,2025-02-14 23:54:00,2025-02-15 03:30:00,2025-02-15 03:29:00,0,,1778.5,Cloudy,4,2,0
DL5535,DL,SFO,ATL,2025-12-09 20:25:00,2025-12-09 20:25:00,2025-12-10 02:00:00,2025-12-10 01:56:00,0,,2633.0,Clear,1,12,0
VN7337,VN,DAD,ORD,2025-12-27 18:42:00,2025-12-27 18:59:00,2025-12-28 23:13:00,2025-12-28 23:29:00,17,Weather,13649.1,Fog,5,12,1
WN9054,WN,LAX,DFW,2025-04-06 10:42:00,2025-04-06 10:42:00,2025-04-06 13:43:00,2025-04-06 13:46:00,0,,1476.1,Fog,6,4,0
AA9327,AA,LAX,DEN,2025-07-31 23:59:00,2025-08-01 00:03:00,2025-08-01 02:17:00,2025-08-01 02:23:00,4,,1031.8,Cloudy,3,7,0
UA7016,UA,ATL,BOS,2025-04-10 12:06:00,2025-04-10 12:06:00,2025-04-10 14:32:00,2025-04-10 14:37:00,0,,1104.4,Clear,3,4,0
UA3840,UA,JFK,DAD,2025-03-24 07:23:00,2025-03-24 07:29:00,2025-03-25 09:40:00,2025-03-25 09:49:00,6,,12670.6,Clear,0,3,0
NK3927,NK,HAN,SFO,2025-03-29 14:56:00,2025-03-29 14:56:00,2025-03-30 23:53:00,2025-03-30 23:53:00,0,,15785.4,Cloudy,5,3,0
AA2284,AA,SEA,JFK,2025-02-04 10:07:00,2025-02-04 10:07:00,2025-02-04 17:05:00,2025-02-04 17:03:00,0,,3381.4,Cloudy,1,2,0
UA1288,UA,BOS,MIA,2025-01-03 10:05:00,2025-01-03 10:05:00,2025-01-03 12:44:00,2025-01-03 12:41:00,0,,1310.3,Clear,4,1,0
NK4315,NK,DFW,SEA,2025-02-27 11:41:00,2025-02-27 11:41:00,2025-02-27 16:01:00,2025-02-27 16:02:00,0,,2011.9,Cloudy,3,2,0
VJ393,VJ,SEA,ORD,2025-06-09 22:09:00,2025-06-09 22:09:00,2025-06-10 03:19:00,2025-06-10 03:16:00,0,,2403.6,Rain,0,6,0
NK2089,NK,SFO,JFK,2025-11-12 17:52:00,2025-11-12 18:01:00,2025-11-13 00:41:00,2025-11-13 00:52:00,9,,3359.9,Cloudy,2,11,0
DL5332,DL,DAD,JFK,2025-03-30 09:55:00,2025-03-30 09:55:00,2025-03-31 12:27:00,2025-03-31 12:25:00,0,,12670.6,Clear,6,3,0
DL8873,DL,JFK,SFO,2025-11-25 18:26:00,2025-11-25 18:28:00,2025-11-26 01:34:00,2025-11-26 01:34:00,2,,3359.9,Fog,1,11,0
VN8265,VN,SEA,ATL,2025-11-24 13:28:00,2025-11-24 13:28:00,2025-11-24 19:20:00,2025-11-24 19:21:00,0,,2782.1,Clear,0,11,0
F95903,F9,SGN,ATL,2025-01-10 18:03:00,2025-01-10 18:03:00,2025-01-11 21:52:00,2025-01-11 21:56:00,0,,13278.2,Clear,4,1,0
VN741,VN,LAX,DFW,2025-07-31 20:59:00,2025-07-31 21:23:00,2025-08-01 00:12:00,2025-08-01 00:31:00,24,National Aviation System,1476.1,Fog,3,7,1
WN3472,WN,DFW,HAN,2025-11-30 14:33:00,2025-11-30 14:33:00,2025-12-01 19:35:00,2025-12-01 19:33:00,0,,14019.6,Clear,6,11,0
NK6232,NK,JFK,SEA,2025-01-25 19:17:00,2025-01-25 19:17:00,2025-01-26 02:18:00,2025-01-26 02:17:00,0,,3381.4,Cloudy,5,1,0
NK1598,NK,ORD,SFO,2025-09-27 10:04:00,2025-09-27 10:13:00,2025-09-27 15:03:00,2025-09-27 15:16:00,9,,2397.4,Cloudy,5,9,0
WN8109,WN,ATL,SFO,2025-09-06 14:32:00,2025-09-06 14:32:00,2025-09-06 20:05:00,2025-09-06 20:09:00,0,,2633.0,Cloudy,5,9,0
DL2813,DL,HAN,JFK,2025-06-09 12:16:00,2025-06-09 12:23:00,2025-06-10 14:16:00,2025-06-10 14:23:00,7,,12463.6,Clear,0,6,0
AS7733,AS,SGN,SFO,2025-11-07 17:16:00,2025-11-07 17:35:00,2025-11-09 02:19:00,2025-11-09 02:38:00,19,National Aviation System,15911.0,Fog,4,11,1
UA6601,UA,DAD,SEA,2025-01-24 14:47:00,2025-01-24 14:50:00,2025-01-26 00:05:00,2025-01-26 00:10:00,3,,16052.0,Cloudy,4,1,0
WN1544,WN,SGN,JFK,2025-11-23 08:39:00,2025-11-23 09:05:00,2025-11-24 10:58:00,2025-11-24 11:27:00,26,Weather,12618.6,Rain,6,11,1
DL1860,DL,LAX,DEN,2025-06-01 09:58:00,2025-06-01 10:06:00,2025-06-01 11:56:00,2025-06-01 12:08:00,8,,1031.8,Clear,6,6,0
AA9834,AA,SEA,BOS,2025-10-29 17:31:00,2025-10-29 17:34:00,2025-10-30 00:50:00,2025-10-30 00:51:00,3,,3557.0,Clear,2,10,0
NK8384,NK,ATL,DAD,2025-02-27 07:12:00,2025-02-27 07:12:00,2025-02-28 11:07:00,2025-02-28 11:04:00,0,,13346.6,Clear,3,2,0
AA8288,AA,ORD,DAD,2025-05-31 06:12:00,2025-05-31 06:12:00,2025-06-01 10:28:00,2025-06-01 10:30:00,0,,13649.1,Clear,5,5,0
AS8089,AS,MIA,LAX,2025-08-16 16:21:00,2025-08-16 16:21:00,2025-08-16 22:05:00,2025-08-16 22:04:00,0,,2689.7,Clear,5,8,0
DL4736,DL,DAD,MIA,2025-11-17 05:32:00,2025-11-17 05:32:00,2025-11-18 08:49:00,2025-11-18 08:49:00,0,,13023.0,Rain,0,11,0
AA9247,AA,SEA,BOS,2025-12-08 22:51:00,2025-12-09 00:58:00,2025-12-09 06:18:00,2025-12-09 08:29:00,127,Security,3557.0,Rain,0,12,1
DL7962,DL,HAN,BOS,2025-08-29 19:54:00,2025-08-29 19:58:00,2025-08-30 21:39:00,2025-08-30 21:39:00,4,,12287.3,Clear,4,8,0
UA1313,UA,SGN,HAN,2025-12-29 19:52:00,2025-12-29 19:52:00,2025-12-29 21:19:00,2025-12-29 21:24:00,0,,720.1,Clear,0,12,0
DL1035,DL,SFO,DAD,2025-08-21 19:49:00,2025-08-21 20:59:00,2025-08-23 05:11:00,2025-08-23 06:23:00,70,Late Aircraft,15979.4,Cloudy,3,8,1
VJ9880,VJ,ATL,DEN,2025-11-04 06:51:00,2025-11-04 06:54:00,2025-11-04 09:54:00,2025-11-04 10:01:00,3,,1461.3,Snow,1,11,0
VJ3061,VJ,HAN,LAX,2025-11-22 12:58:00,2025-11-22 12:58:00,2025-11-23 21:15:00,2025-11-23 21:11:00,0,,15495.7,Fog,5,11,0
UA9497,UA,DEN,BOS,2025-04-19 22:21:00,2025-04-19 22:22:00,2025-04-20 03:17:00,2025-04-20 03:13:00,1,,2329.3,Clear,5,4,0
AS9652,AS,LAX,MIA,2025-11-24 07:52:00,2025-11-24 07:58:00,2025-11-24 13:38:00,2025-11-24 13:47:00,6,,2689.7,Rain,0,11,0
AA129,AA,SGN,ORD,2025-12-20 10:19:00,2025-12-20 10:22:00,2025-12-21 14:29:00,2025-12-21 14:31:00,3,,13595.6,Cloudy,5,12,0
AA3135,AA,JFK,SEA,2025-02-07 10:29:00,2025-02-07 11:05:00,2025-02-07 17:39:00,2025-02-07 18:14:00,36,Carrier Delay,3381.4,Rain,4,2,1
DL3018,DL,LAX,SEA,2025-05-11 17:55:00,2025-05-11 17:55:00,2025-05-11 19:59:00,2025-05-11 20:02:00,0,,970.1,Clear,6,5,0
VJ8991,VJ,DAD,ORD,2025-02-20 23:51:00,2025-02-20 23:52:00,2025-02-22 04:20:00,2025-02-22 04:24:00,1,,13649.1,Clear,3,2,0
AA846,AA,SGN,BOS,2025-03-02 15:59:00,2025-03-02 16:07:00,2025-03-03 18:04:00,2025-03-03 18:13:00,8,,12450.4,Clear,6,3,0
AS9244,AS,SGN,DEN,2025-05-29 15:50:00,2025-05-29 15:50:00,2025-05-30 22:33:00,2025-05-30 22:38:00,0,,14718.5,Cloudy,3,5,0
NK1290,NK,JFK,ATL,2025-02-26 07:34:00,2025-02-26 07:34:00,2025-02-26 09:32:00,2025-02-26 09:28:00,0,,879.4,Clear,2,2,0
WN6139,WN,SGN,ATL,2025-03-22 23:25:00,2025-03-22 23:31:00,2025-03-24 03:08:00,2025-03-24 03:10:00,6,,13278.2,Cloudy,5,3,0
VJ3379,VJ,SEA,JFK,2025-11-22 17:29:00,2025-11-22 18:25:00,2025-11-23 00:33:00,2025-11-23 01:28:00,56,Weather,3381.4,Clear,5,11,1
VN8362,VN,SGN,BOS,2025-01-05 17:39:00,2025-01-05 17:45:00,2025-01-06 19:44:00,2025-01-06 19:47:00,6,,12450.4,Clear,6,1,0
WN132,WN,SGN,HAN,2025-09-06 14:08:00,2025-09-06 14:08:00,2025-09-06 15:41:00,2025-09-06 15:45:00,0,,720.1,Fog,5,9,0
F94556,F9,DEN,ORD,2025-07-05 12:03:00,2025-07-05 12:03:00,2025-07-05 14:24:00,2025-07-05 14:26:00,0,,1166.1,Clear,5,7,0
B61069,B6,ORD,JFK,2025-11-07 08:43:00,2025-11-07 08:43:00,2025-11-07 10:48:00,2025-11-07 10:51:00,0,,979.2,Clear,4,11,0
AS5721,AS,HAN,SFO,2025-07-26 14:50:00,2025-07-26 15:30:00,2025-07-27 23:40:00,2025-07-28 00:23:00,40,National Aviation System,15785.4,Fog,5,7,1
AA2666,AA,SGN,ORD,2025-01-17 21:31:00,2025-01-17 21:32:00,2025-01-19 01:55:00,2025-01-19 02:00:00,1,,13595.6,Cloudy,4,1,0
DL7309,DL,SFO,LAX,2025-09-14 08:12:00,2025-09-14 08:16:00,2025-09-14 09:12:00,2025-09-14 09:20:00,4,,373.5,Clear,6,9,0
WN2688,WN,DAD,ATL,2025-01-16 10:16:00,2025-01-16 10:16:00,2025-01-17 14:03:00,2025-01-17 14:05:00,0,,13346.6,Clear,3,1,0
AA5493,AA,BOS,MIA,2025-02-02 11:33:00,2025-02-02 12:38:00,2025-02-02 14:11:00,2025-02-02 15:19:00,65,Carrier Delay,1310.3,Clear,6,2,1
UA1936,UA,DAD,ORD,2025-11-09 19:45:00,2025-11-09 20:14:00,2025-11-11 00:19:00,2025-11-11 00:50:00,29,Security,13649.1,Fog,6,11,1
DL1215,DL,BOS,DFW,2025-08-28 08:20:00,2025-08-28 08:20:00,2025-08-28 12:27:00,2025-08-28 12:26:00,0,,1911.2,Cloudy,3,8,0
VN1759,VN,DEN,DAD,2025-09-26 05:14:00,2025-09-26 05:15:00,2025-09-27 12:02:00,2025-09-27 12:06:00,1,,14779.9,Cloudy,4,9,0
F97371,F9,HAN,LAX,2025-01-01 06:08:00,2025-01-01 06:08:00,2025-01-02 14:26:00,2025-01-02 14:23:00,0,,15495.7,Clear,2,1,0
WN9833,WN,BOS,HAN,2025-04-04 15:26:00,2025-04-04 15:26:00,2025-04-05 17:10:00,2025-04-05 17:10:00,0,,12287.3,Rain,4,4,0
VN1226,VN,HAN,DAD,2025-09-17 23:21:00,2025-09-17 23:21:00,2025-09-18 00:21:00,2025-09-18 00:19:00,0,,393.5,Clear,2,9,0
AA9974,AA,ATL,SFO,2025-03-01 12:22:00,2025-03-01 12:22:00,2025-03-01 17:56:00,2025-03-01 17:57:00,0,,2633.0,Cloudy,5,3,0
AA8616,AA,DEN,ORD,2025-12-27 12:26:00,2025-12-27 12:26:00,2025-12-27 14:55:00,2025-12-27 14:56:00,0,,1166.1,Clear,5,12,0
DL508,DL,SEA,ATL,2025-07-14 22:36:00,2025-07-14 22:36:00,2025-07-15 04:31:00,2025-07-15 04:26:00,0,,2782.1,Clear,0,7,0
F91895,F9,SGN,DEN,2025-05-05 22:44:00,2025-05-05 22:44:00,2025-05-07 05:25:00,2025-05-07 05:24:00,0,,14718.5,Clear,0,5,0
WN175,WN,DAD,SGN,2025-02-21 14:11:00,2025-02-21 14:51:00,2025-02-21 15:11:00,2025-02-21 15:54:00,40,Security,376.0,Snow,4,2,1
WN1916,WN,SGN,DAD,2025-07-31 13:58:00,2025-07-31 13:58:00,2025-07-31 14:58:00,2025-07-31 15:03:00,0,,376.0,Clear,3,7,0
B68965,B6,DAD,LAX,2025-07-18 15:35:00,2025-07-18 15:40:00,2025-07-20 00:20:00,2025-07-20 00:27:00,5,,15684.6,Cloudy,4,7,0
WN1890,WN,DAD,ATL,2025-02-10 11:02:00,2025-02-10 11:03:00,2025-02-11 14:48:00,2025-02-11 14:51:00,1,,13346.6,Rain,0,2,0
F98968,F9,ATL,JFK,2025-08-03 15:03:00,2025-08-03 16:17:00,2025-08-03 16:47:00,2025-08-03 18:04:00,74,Security,879.4,Snow,6,8,1
